objectid,gis_key,address
"42310","124-73","41 BEECHWOOD RD"
"42331","182-155","62-64 CENTRAL ST"
"42339","222-41","9 WASON RD"
"42364","240-18","18 A&B RIVER RD"
"42385"," ","STEVENS DR OFF"
"42436"," ","CENTRAL ST OFF"
"42443"," ","ROBINSON RD"
"42453","153-1","37 A&B DUGOUT RD"
"42454","152-28","10 A&B LAWRENCE RD"
"42483","247","EAYRS POND RD OFF"
"42538","112-21","59 A&B KIENIA RD"
"42539","105-22","15 A&B TWIN MEADOW DR"
"42540","105-24","11 A&B TWIN MEADOW DR"
"42541","106-2","164 A&B OLD DERRY RD"
"42543","110-7","KINGSTON WAY OFF"
"42544","116-35","STONEWOOD LN OFF"
"42545","169-23","WINDHAM RD OFF"
"42551","178-6","7 A&B CATALPA DR"
"42553","190-8","LOWELL RD OFF"
"42554","190-195","MERRILL PARK OFF"
"42555","198-130","7 & 7 1/2 BELKNAP TER"
"42556","198-132","3 & 3 1/2 BELKNAP TER"
"42557","205-1","38 BURNS HILL RD"
"42558","217-47","WASON RD OFF"
"42559","240-20","22 A&B RIVER RD"
"42560","247-147","PINE RD OFF"
"42561","256-9","RIVER RD OFF"
"42562","198-131","5 & 5 1/2 BELKNAP TER"
"42584","182-23","45 CENTRAL ST OFF"
"42592","182-9","OFF REED ST"
"42672","224-5","32 A&B MUSQUASH RD"
"43079","243-30","5 A&B RICHMAN DR"
"43083","243-24","17 A&B RICHMAN DR"
"43130","138-95","237 A&B WEBSTER ST"
"43131","158-4","148 & 150 HIGHLAND ST"
"43231"," ","MERRIMACK RIVER"
"43232"," ","DRACUT RD OFF"
"43234"," ","PHILBRICK ST OFF"
"43258","218-31","TRIGATE RD "
"43263"," ","OLD DERRY RD OFF*"
"43274"," ","OBAN DR OFF"
"43275","242","MUSQUASH RD"
"43278","243","RICHMAN DR OFF"
"43279","163","SULLIVAN RD OFF"
"43523","194-1-2","SPEARE RD"
"43776","218-21","12 A&B HARWOOD RD"
"43777","218-22","18 A&B TRIGATE RD"
"43919","167","HIGHLAND St"
"46128","135-17","25 GRIFFIN RD"
"46130","135-17-1","GRIFFIN RD"
"46131","135-17-2","GRIFFIN RD"
"46221","161-29-1","7 A & B TERRACEVIEW DR"
"46222","161-29-4","31 A & B TERRACEVIEW DR"
"46223","161-29-9","61 A & B TERRACEVIEW DR"
"46224","161-29-8","53 A & B TERRACEVIEW DR"
"46225","161-29-7","45 A & B TERRACEVIEW DR"
"46226","161-29-3","25 A & B TERRACEVIEW DR"
"46227","161-29-6","39 A & B TERRACEVIEW DR"
"46228","161-29-5","35 A & B TERRACEVIEW DR"
"46229","161-29-2","13 A & B TERRACEVIEW DR"
"46230","161-29-19","4 A & B TERRACEVIEW DR"
"46231","161-29-18","20 A & B TERRACEVIEW DR"
"46232","161-29-17","28 A & B TERRACEVIEW DR"
"46233","161-29-16","36 A & B TERRACEVIEW DR"
"46234","161-29-15","42 A & B TERRACEVIEW DR"
"46235","161-29-14","56 A & B TERRACEVIEW DR"
"46236","161-29-13","66 A & B TERRACEVIEW DR"
"46237","161-29-12","72 A & B TERRACEVIEW DR"
"46238","161-29-10","71 A & B TERRACEVIEW DR"
"46239","128-10","299 WEBSTER ST"
"46240","128-10-1","289 A & B WEBSTER ST"
"64613","193-58","8 CALDWELL RD"
"65196","151-59-6","39 A & B WINDSOR LN"
"65197","151-59-5","35 A & B WINDSOR LN"
"65199","151-59-3","27 A & B WINDSOR LN"
"65200","151-59-2","21 A & B WINDSOR LN"
"65201","151-59-1","11 A & B WINDSOR LN"
"65542","128-6-3","288 WEBSTER ST"
"65543","128-6-2","288 WEBSTER ST"
